# Civ2.exe Function Index
# Generated by Ghidra headless decompiler
# Format: Address  Size  Name
# Total: 5149 decompiled, 1975 skipped (thunks/externals), 0 errors

0x00424AE9    2305  FUN_00424ae9
0x004253EF     185  FUN_004253ef
0x004254A8     351  FUN_004254a8
0x00425607      73  FUN_00425607
0x00425650      69  FUN_00425650
0x00425695     119  FUN_00425695
0x0042570C     242  FUN_0042570c
0x004257FE     424  FUN_004257fe
0x004259A6    1423  FUN_004259a6
0x00426F30      57  FUN_00426f30
0x00426F80      37  FUN_00426f80
0x00426FB0      45  FUN_00426fb0
0x00426FF0     504  FUN_00426ff0
0x004271E8      41  FUN_004271e8
0x00427211      41  FUN_00427211
0x004272D0     188  FUN_004272d0
0x0042738C      90  FUN_0042738c
0x004273E6     192  FUN_004273e6
0x004274A6    4250  FUN_004274a6
0x004289E0      21  FUN_004289e0
0x004289F5      26  FUN_004289f5
0x00428A0F     105  FUN_00428a0f
0x00428A78      29  FUN_00428a78
0x00428A95     119  FUN_00428a95
0x00428B0C      92  FUN_00428b0c
0x00428B68     177  FUN_00428b68
0x00428CB0      54  FUN_00428cb0
0x00428D00      27  FUN_00428d00
0x00428D1B      45  FUN_00428d1b
0x00428D48      95  FUN_00428d48
0x00428DA7      40  FUN_00428da7
0x00428DCF     129  FUN_00428dcf
0x00428E50     349  FUN_00428e50
0x00428FD2     108  FUN_00428fd2
0x0042903E     864  FUN_0042903e
0x004293A8     713  FUN_004293a8
0x00429671    2002  FUN_00429671
0x00429E53      12  FUN_00429e53
0x00429E69      14  FUN_00429e69
0x00429E77      89  FUN_00429e77
0x00429ED0      12  FUN_00429ed0
0x00429EE6      14  FUN_00429ee6
0x0042A380      26  FUN_0042a380
0x0042A39A      32  FUN_0042a39a
0x0042A3BA      29  FUN_0042a3ba
0x0042A3D7      26  FUN_0042a3d7
0x0042A3F1      26  FID_conflict:_$E51
0x0042A40B      30  FUN_0042a40b
0x0042A429      29  FUN_0042a429
0x0042A446      26  FUN_0042a446
0x0042A460      26  FUN_0042a460
0x0042A47A      32  FUN_0042a47a
0x0042A49A      29  FUN_0042a49a
0x0042A4B7      26  FUN_0042a4b7
0x0042A4D1      26  FUN_0042a4d1
0x0042A4EB      32  FUN_0042a4eb
0x0042A50B      29  FUN_0042a50b
0x0042A528      26  FUN_0042a528
0x0042A542      26  FUN_0042a542
0x0042A55C      32  FUN_0042a55c
0x0042A57C      29  FUN_0042a57c
0x0042A599      26  FUN_0042a599
0x0042A5B3      26  FID_conflict:_$E51
0x0042A5CD      30  FUN_0042a5cd
0x0042A5EB      29  FUN_0042a5eb
0x0042A608      26  FUN_0042a608
0x0042A622      26  FID_conflict:_$E31
0x0042A63C      26  FUN_0042a63c
0x0042A656      29  FUN_0042a656
0x0042A673      26  FUN_0042a673
0x0042A68D      26  FID_conflict:_$E31
0x0042A6A7      26  FUN_0042a6a7
0x0042A6C1      29  FUN_0042a6c1
0x0042A6DE      26  FUN_0042a6de
0x0042A6F8      26  FUN_0042a6f8
0x0042A712      31  FUN_0042a712
0x0042A731      29  FUN_0042a731
0x0042A74E      26  FUN_0042a74e
0x0042A768      84  FUN_0042a768
0x0042A7BC     986  show_credits
0x0042AB9B      12  FUN_0042ab9b
0x0042ABB1      16  FUN_0042abb1
0x0042ABC1      87  FUN_0042abc1
0x0042AC18      54  FUN_0042ac18
0x0042AC4E      98  FUN_0042ac4e
0x0042ACB0     223  FUN_0042acb0
0x0042AD8F    1969  FUN_0042ad8f
0x0042B540      35  FUN_0042b540
0x0042B563     243  FUN_0042b563
0x0042B65B      34  FUN_0042b65b
0x0042B67D     423  FUN_0042b67d
0x0042B824    1022  FUN_0042b824
0x0042BC22      12  FUN_0042bc22
0x0042BC38      15  FUN_0042bc38
0x0042BC47     292  FUN_0042bc47
0x0042BD6B      12  FUN_0042bd6b
0x0042BD81      14  FUN_0042bd81
0x0042BD8F    3931  FUN_0042bd8f
0x0042CCF4      29  FUN_0042ccf4
0x0042CD11      30  FUN_0042cd11
0x0042CD2F     423  FUN_0042cd2f
0x0042CED6    1858  FUN_0042ced6
0x0042D618      29  FUN_0042d618
0x0042D635     228  FUN_0042d635
0x0042D71E      99  FUN_0042d71e
0x0042D781     668  FUN_0042d781
0x0042DA1D    1634  FUN_0042da1d
0x0042E07F      29  FUN_0042e07f
0x0042E09C     228  FUN_0042e09c
0x0042E185      99  FUN_0042e185
0x0042E1E8      56  FUN_0042e1e8
0x0042E220    3523  FUN_0042e220
0x0042EFE3      29  FUN_0042efe3
0x0042F000     121  FUN_0042f000
0x0042F079     538  FUN_0042f079
0x0042F293    4042  FUN_0042f293
0x00430267      35  FUN_00430267
0x0043028A     270  FUN_0043028a
0x0043039D     586  FUN_0043039d
0x004305E7      12  FUN_004305e7
0x004305FD      14  FUN_004305fd
0x0043060B     535  FUN_0043060b
0x00430822     140  FUN_00430822
0x004308AE    3218  FUN_004308ae
0x0043154F      12  FUN_0043154f
0x00431565      14  FUN_00431565
0x00431573    1763  FUN_00431573
0x00431C56      29  FUN_00431c56
0x00431C73     175  FUN_00431c73
0x00431D22    2183  FUN_00431d22
0x004325C9      12  FUN_004325c9
0x004325D5      12  FUN_004325d5
0x004325E1      12  FUN_004325e1
0x004325ED      12  FUN_004325ed
0x00432603      14  FUN_00432603
0x00432611    1501  FUN_00432611
0x00432BF8      12  FUN_00432bf8
0x00432C0E      14  FUN_00432c0e
0x00432C1C    1281  FUN_00432c1c
0x00433122     175  FUN_00433122
0x004331D1     611  FUN_004331d1
0x00433434    6486  FUN_00433434
0x00434D8A     175  FUN_00434d8a
0x00434E39    3769  FUN_00434e39
0x00435D15     175  FUN_00435d15
0x00435DC4    1032  FUN_00435dc4
0x004361CC     187  FUN_004361cc
0x00436287      91  FUN_00436287
0x004362E2    2224  FUN_004362e2
0x00436B92      37  FUN_00436b92
0x00436BB7     544  FUN_00436bb7
0x00436DD7      81  FUN_00436dd7
0x00436E28     170  FUN_00436e28
0x00436ED2     136  FUN_00436ed2
0x00436F5A     601  FUN_00436f5a
0x004371B3      21  FUN_004371b3
0x004371C8      26  FUN_004371c8
0x004371E2      45  FUN_004371e2
0x0043720F      29  FUN_0043720f
0x0043722C      88  FUN_0043722c
0x00437284      73  FUN_00437284
0x004372CD     298  FUN_004372cd
0x0043742F    1469  FUN_0043742f
0x00437A10      26  FUN_00437a10
0x00437A2A      32  FUN_00437a2a
0x00437A4A     544  FUN_00437a4a
0x00437C6F      27  FUN_00437c6f
0x00437C8A      67  FUN_00437c8a
0x00437CCD      29  FUN_00437ccd
0x00437CEA    2172  FUN_00437cea
0x0043856B     333  FUN_0043856b
0x004386B8     308  FUN_004386b8
0x0043C110     140  ~CDaoFieldInfo
0x0043C19C      15  FUN_0043c19c
0x0043C1AB      15  FUN_0043c1ab
0x0043C1BA      15  FUN_0043c1ba
0x0043C1C9      15  FUN_0043c1c9
0x0043C1D8      15  FUN_0043c1d8
0x0043C1E7      15  FUN_0043c1e7
0x0043C1F6       9  FUN_0043c1f6
0x0043C209      14  FUN_0043c209
0x0043C260     200  FUN_0043c260
0x0043C3F0      44  FUN_0043c3f0
0x0043C430      36  ~_Timevec
0x0043C460      70  FUN_0043c460
0x0043C4C0      72  FUN_0043c4c0
0x0043C520      48  FUN_0043c520
0x0043C560      28  GetActiveView
0x0043C590      28  GetActiveView
0x0043C5C0      37  FUN_0043c5c0
0x0043C5F0      50  FUN_0043c5f0
0x0043C630      39  FUN_0043c630
0x0043C660      39  FUN_0043c660
0x0043C690      34  FUN_0043c690
0x0043C6C0      95  FUN_0043c6c0
0x0043C740      57  FUN_0043c740
0x0043C790      34  FUN_0043c790
0x0043C7C0      61  FUN_0043c7c0
0x0043C810      29  FUN_0043c810
0x0043C840      32  FUN_0043c840
0x0043C870      33  FUN_0043c870
0x0043C8A0      33  FUN_0043c8a0
0x0043C8D0      42  FUN_0043c8d0
0x0043C910      46  FUN_0043c910
0x0043C950      46  FUN_0043c950
0x0043C990      40  FUN_0043c990
0x0043C9D0      41  FUN_0043c9d0
0x0043CA10      42  FUN_0043ca10
0x0043CA50      37  FUN_0043ca50
0x0043CA80      33  FUN_0043ca80
0x0043CAB0      92  FUN_0043cab0
0x0043CB30      92  FUN_0043cb30
0x0043CBB0      57  FUN_0043cbb0
0x0043CC00     126  FUN_0043cc00
0x0043CC7E     103  FUN_0043cc7e
0x0043CCE5     193  FUN_0043cce5
0x0043CDA6     180  FUN_0043cda6
